Id,Author,Date,URL
1,Stephen Collinson,"April 29, 2024",https://edition.cnn.com/2024/04/28/politics/biden-trump-nostalgia/index.html
2, John Towfighi,"April 28, 2024",https://edition.cnn.com/2023/10/11/business/harvard-israel-hamas-ceos-students/index.html
3,Andrew Carey and Olga Voitovych,"April 28, 2024",https://edition.cnn.com/2024/04/28/europe/russia-daily-gains-ukraine-military-criticism-intl/index.html
4,Andrew Carey and Olga Voitovych,"April 28, 2024",https://edition.cnn.com/2024/03/13/travel/australia-clive-palmer-relaunches-titanic-two-intl-hnk/index.html
5,Silvia Marchetti,"April 28, 2024",https://edition.cnn.com/travel/italy-house-bought-24-hours-latronico/index.html
6,"Lilit Marcus,","April 26, 2024",https://edition.cnn.com/travel/japan-mount-fuji-view-barrier-tourists-intl-hnk/index.html
7,"Katie Hunt,","April 27, 2024",https://edition.cnn.com/2024/04/27/world/avars-ancient-dna-science-newsletter-wt-scn/index.html
8,Aimee Lewis,"April 28, 2024",https://edition.cnn.com/2024/04/28/sport/lionel-messi-mls-record-spt-intl/index.html
9,Thomas Schlachter,"April 27, 2024",https://edition.cnn.com/2024/04/27/sport/emmanuel-wanyonyi-road-mile-world-record-spt-intl/index.html
10,Bob,"April 25, 2024",https://edition.cnn.com/travel/what-its-really-like-to-live-in-macao-intl-hnk/index.html
11,Peter,"Jan 22, 2025",https://edition.cnn.com/2024/01/22/us/joliet-chicago-house-killings-suspect-manhunt/index.html
12,Becky Anderson,"April 29, 2024",https://edition.cnn.com/2024/04/29/middleeast/hamas-israel-ceasefire-proposal-cairo-talks-intl/index.html
13,David Culver,"April 29, 2024",https://edition.cnn.com/2024/04/29/americas/haiti-gang-vitelhomme-innocent-kraze-barye-intl-latam/index.html
14,Chad,"April 28, 2024",https://edition.cnn.com/2024/04/29/cars/elon-musk-surprise-visit-china-premier-li-intl-hnk/index.html
15,Chad,"April 29, 2024",https://edition.cnn.com/2024/04/29/entertainment/anne-hathaway-sobriety/index.html
16,Chad,"April 30, 2024",https://edition.cnn.com/travel/china-southern-longest-flight-mexico-city-intl-hnk/index.html
17,Chad,"May 1, 2024",https://edition.cnn.com/2024/04/29/health/teen-vaping-toxic-lead-uranium-exposure-wellness/index.html
18,Chad,"May 2, 2024",https://edition.cnn.com/2024/04/29/sport/mike-tyson-jake-paul-fight-sex-marijuana-spt-intl/index.html
19,Chad,"May 3, 2024",https://edition.cnn.com/2024/04/29/style/dodecahedron-roman-object-mystery-scn-scli-intl/index.html
20,Chad,"May 4, 2024",https://edition.cnn.com/2024/04/29/media/paramount-global-bob-bakish-out/index.html
21,Chad,"May 5, 2024",https://edition.cnn.com/2024/04/26/sport/aya-nakamura-france-culture-wars-paris-2024-spt-intl/index.html
22,Chad,"May 6, 2024",https://edition.cnn.com/style/taiwan-betel-nut-beauties-constanze-han/index.html
23,Chad,"May 7, 2024",https://edition.cnn.com/2024/04/22/opinions/taiwan-view-2024-us-election-wei/index.html
24,Chad,"May 8, 2024",https://edition.cnn.com/2024/04/29/health/genetic-risk-early-death-lifestyle-wellness/index.html
25,Chad,"May 9, 2024",https://edition.cnn.com/2024/04/26/tech/openai-altman-government-ai-safety-panel/index.html
26,Chad,"May 10, 2024",https://edition.cnn.com/2024/04/29/politics/biden-young-voters-what-matters/index.html
